"participant","condsFile","order","trial","nTrip","totalListTime","meanListTime","totalShelfTime","meanShelfTime","totalTime","totalCorrect","meanCorrect","meanCorBefInc","totalInCorrect","meanIncorrect","maxCorrect","maxIncorrect","totalClickeds","meanclickeds","meanMU","Timestamp","What.is.your.child.s.gender.","What.is.your.child.s.age.","Please.enter.your.child.s.birth.date.","Caregiver.1..What.is.the.highest.level.of.education.","Caregiver.2..What.is.the.highest.level.of.education.","Is.your.child.currently.going.to.school..If.yes..what.grade...In.the.summer..What.grade.has.your.child.just.completed..","Which.group.below.most.accurately.describes.your.child.s.ethnic.background.","Which.group.help.most.accurately.describes.your.child.s.racial.background.","How.many.days.per.week.does.your.child.spend.using.a.touchscreen.device...e.g..iPad..tablet..smartphone.","On.these.days..how.many.hours.does.your.child.typically.spend.using.the.touchscreen.device.","Which.types.of.activities.does.your.child.usually.engage.in.on.the.touchscreen.device.","Does.your.child.have.colorblindness.","At.what.age.did.your.child.first.begin.to.play.with.a.touchscreen.device.","Have.you.ever.had.any.developmental.concerns.or.have.you.ever.been.referred.to.early.intervention..If.yes..what.it.is.","Does.your.child.hear.any.other.language.other.than.English.on.a.daily.basis..If.yes..which.."
"14","longDelay","B",1,1,6.28856913999698,6.28856913999698,12.7596365600002,12.7596365600002,19.0482056999972,2,2,2,1,1,2,1,3,3,1,"11/11/2024 13:51:43","Female",6,"12/6/2017","College degree","College degree","First grade","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games","No","2?","No","No"
"14","longDelay","B",2,1,5.80965124000431,5.80965124000431,14.2443097600008,14.2443097600008,20.0539610000051,4,4,4,0,0,4,0,4,4,4,"11/11/2024 13:51:43","Female",6,"12/6/2017","College degree","College degree","First grade","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games","No","2?","No","No"
"14","longDelay","B",3,1,7.12731964000341,7.12731964000341,9.41718766000122,9.41718766000122,16.5445073000046,3,3,3,0,0,3,0,3,3,3,"11/11/2024 13:51:43","Female",6,"12/6/2017","College degree","College degree","First grade","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games","No","2?","No","No"
"14","longDelay","B",4,1,4.79279667999799,4.79279667999799,21.663641480005,21.663641480005,26.456438160003,6,6,4,4,4,6,4,10,10,2,"11/11/2024 13:51:43","Female",6,"12/6/2017","College degree","College degree","First grade","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games","No","2?","No","No"
"14","noDelay","B",1,1,5.00269259999914,5.00269259999914,10.8909716600047,10.8909716600047,15.8936642600038,2,2,2,0,0,2,0,2,2,2,"11/11/2024 13:51:43","Female",6,"12/6/2017","College degree","College degree","First grade","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games","No","2?","No","No"
"14","noDelay","B",2,1,3.69988059999741,3.69988059999741,7.62155945999984,7.62155945999984,11.3214400599973,2,2,2,0,0,2,0,2,2,2,"11/11/2024 13:51:43","Female",6,"12/6/2017","College degree","College degree","First grade","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games","No","2?","No","No"
"14","noDelay","B",3,1,4.53607674000159,4.53607674000159,9.43320252000194,9.43320252000194,13.9692792600035,4,4,4,0,0,4,0,4,4,4,"11/11/2024 13:51:43","Female",6,"12/6/2017","College degree","College degree","First grade","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games","No","2?","No","No"
"14","noDelay","B",4,1,4.77165544000309,4.77165544000309,40.2509091799984,40.2509091799984,45.0225646200015,7,7,4,3,3,7,3,10,10,4,"11/11/2024 13:51:43","Female",6,"12/6/2017","College degree","College degree","First grade","Not Hispanic or Latino","White","1-2 days","0-1 hour","playing games","No","2?","No","No"
"15","longDelay","D",1,1,3.8249458700011,3.8249458700011,13.1178512900042,13.1178512900042,16.9427971600053,1,1,0,1,1,1,1,2,2,0,"11/11/2024 14:16:44","Female",5,"2/21/2019","Master's degree","Master's degree","Kindergarten","Not Hispanic or Latino","White","everyday","1-2 hours","playing games, watching videos","No","3","No","No"
"15","longDelay","D",2,1,4.69304237000324,4.69304237000324,6.54626295000708,6.54626295000708,11.2393053200103,2,2,2,0,0,2,0,2,2,2,"11/11/2024 14:16:44","Female",5,"2/21/2019","Master's degree","Master's degree","Kindergarten","Not Hispanic or Latino","White","everyday","1-2 hours","playing games, watching videos","No","3","No","No"
